time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2024/12/06 18:26:26.455435730,1733509586,274628762,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:26.455521377,1733509586,373809625,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:26.477180884,1733509586,476752779,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:26.502204336,1733509586,425192916,20,rosbag2_recorder,Listening for topics...,./src/rosbag2_transport/recorder.cpp,record,195
2024/12/06 18:26:26.502270095,1733509586,425239897,20,rosbag2_recorder,Event publisher thread: Starting,./src/rosbag2_transport/recorder.cpp,event_publisher_thread_main,215
2024/12/06 18:26:26.502308964,1733509586,432384468,20,rosbag2_recorder,Subscribed to topic '/rosout',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/06 18:26:26.502347001,1733509586,437713420,20,rosbag2_recorder,Subscribed to topic '/quaternion',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/06 18:26:26.502386037,1733509586,440755483,20,rosbag2_recorder,Subscribed to topic '/parameter_events',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/06 18:26:26.502423666,1733509586,444301908,20,rosbag2_recorder,Subscribed to topic '/magnetic',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/06 18:26:26.502461406,1733509586,447274064,20,rosbag2_recorder,Subscribed to topic '/gyro',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/06 18:26:26.502499406,1733509586,450685769,20,rosbag2_recorder,Subscribed to topic '/events/write_split',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/06 18:26:26.502537461,1733509586,453669462,20,rosbag2_recorder,Subscribed to topic '/acceleration',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/06 18:26:26.502576053,1733509586,454470820,20,rosbag2_recorder,Recording...,./src/rosbag2_transport/recorder.cpp,record,209
2024/12/06 18:26:26.540218934,1733509576,568603218,20,gps_publisher,"Publishing GPS data: 45.5056173, 9.165979, 140.714",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.540409357,1733509577,568154218,20,gps_publisher,"Publishing GPS data: 45.5056166, 9.1659794, 140.882",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.540515540,1733509578,570339923,20,gps_publisher,"Publishing GPS data: 45.5056163, 9.1659803, 140.9",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.540658390,1733509579,565711286,20,gps_publisher,"Publishing GPS data: 45.505616, 9.1659821, 140.997",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.540772369,1733509580,568565214,20,gps_publisher,"Publishing GPS data: 45.5056152, 9.1659843, 141.391",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.540874127,1733509581,568528731,20,gps_publisher,"Publishing GPS data: 45.5056149, 9.1659858, 141.618",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.540972829,1733509582,568248494,20,gps_publisher,"Publishing GPS data: 45.5056154, 9.1659858, 141.46",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.541068698,1733509583,567882316,20,gps_publisher,"Publishing GPS data: 45.505616, 9.1659855, 141.215",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.541163289,1733509584,568021258,20,gps_publisher,"Publishing GPS data: 45.5056168, 9.1659855, 141.162",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.541262084,1733509585,565273374,20,gps_publisher,"Publishing GPS data: 45.5056171, 9.1659848, 141.037",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.568360596,1733509586,567777828,20,gps_publisher,"Publishing GPS data: 45.5056149, 9.1659831, 140.727",/home/sailing/Main-Computer/install/interfaces_py/lib/python3.10/site-packages/interfaces_py/gps_node.py,publish_gps_data,30
2024/12/06 18:26:26.574672662,1733509586,574295612,20,rosbag2_recorder,Subscribed to topic '/gps_data',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/06 18:26:26.578379807,1733509586,577543116,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:26.678719428,1733509586,677858646,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:26.775855898,1733509586,775401109,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:26.879029956,1733509586,876728770,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:26.981646430,1733509586,980202676,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:27.78919497,1733509587,78348283,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:27.179184610,1733509587,178198348,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
2024/12/06 18:26:27.280538058,1733509587,279925253,20,bno08x_publisher,Dati pubblicati!,/home/sailing/Main-Computer/install/bno08x_sensor/lib/python3.10/site-packages/bno08x_sensor/bno08x_publisher.py,publish_sensor_data,53
